Name,Items
Essential Starter,1,Cleanser 50mL,2,Bishop Sponge,2,Circle Sponge,1,Refresh Optive Drops,1,Moist Heat Mask
Essential Refresh,1,Cleanser 180mL,8,Bishop Sponge,8,Circle Sponge,2,Refresh Optive Drops,1,SurprEYEs ($0-$5)
IPL,1,Sun Cream,1,Peptide Cream,1,Cool Mask,1,P&C Lid Prep Spray 2oz
OrthoK Starter,1,Clear Care Triple Action,1,Refresh Relieva Drops,2,Eye Plunger,1,Tangible Clean & Contact Case,1,P&C Hand Prep Spray 2oz,1,Cleanser 50mL,2,Bishop Sponge,2,Circle Sponge,1,Gadget Pouch,1,Mirror
Essential Device,1,Cleanser 50mL,30,Waiva Sponges,1,"Waiva, Cord, Block, Bag, & Box",1,Refresh Optive Drops,1,Moist Heat Mask
